"","movie_id","movie_title","genre","Documentary","Short","Horror","Adventure","Fantasy","Action","Crime","Drama","Romance","History","Comedy","Family","War","Sport","Biography","Mystery","Sci-Fi","Thriller","Animation","Western","Music","Musical","Film-Noir","Adult","Talk-Show","News","Reality-TV","Game-Show"
"1",8,"Edison Kinetoscopic Record of a Sneeze (1894)","Documentary|Short",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",10,"La sortie des usines Lumière (1895)","Documentary|Short",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",12,"The Arrival of a Train (1896)","Documentary|Short",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",91,"Le manoir du diable (1896)","Short|Horror",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",417,"Le voyage dans la lune (1902)","Short|Adventure|Fantasy",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",439,"The Great Train Robbery (1903)","Short|Action|Crime",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",628,"The Adventures of Dollie (1908)","Action|Short",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",833,"The Country Doctor (1909)","Short|Drama",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1223,"Frankenstein (1910)","Short|Fantasy|Horror",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1740,"The Lonedale Operator (1911)","Short|Drama|Romance",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2101,"Cleopatra (1912)","Drama|History",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2130,"L'inferno (1911)","Adventure|Drama|Fantasy",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2354,"Max et Jane veulent faire du théâtre (1911)","Short|Comedy",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2844,"Fantômas - À l'ombre de la guillotine (1913)","Crime|Drama",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",3740,"Cabiria (1914)","Adventure|Drama|History",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",3863,"Dough and Dynamite (1914)","Comedy|Short",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",4099,"His Majesty, the Scarecrow of Oz (1914)","Family|Fantasy|Adventure",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",4101,"His New Profession (1914)","Short|Comedy",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",4210,"Laughing Gas (1914)","Short|Comedy",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",4395,"The New Janitor (1914)","Short|Comedy",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",4457,"The Patchwork Girl of Oz (1914)","Adventure|Family|Fantasy",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
